country,viewers
US,85606
CA,13034
DE,10835
,7641
GB,6964
TR,4412
AU,3911
SE,3533
NL,3213
DK,2909
GR,2885
PL,2776
PT,2757
RO,2464
IT,2333
FR,2316
TW,2257
BR,2252
MX,2244
NO,2047
BE,1712
ES,1574
FI,1416
CZ,1143
NZ,1104
RU,1058
HU,1037
AT,952
LT,903
BG,894
HK,892
HR,869
CL,835
RS,748
IL,593
CH,577
JP,562
SG,558
AR,541
MA,462
IE,461
CO,446
SK,437
SI,436
SA,422
AE,371
BA,330
PH,315
KW,314
PR,292
EE,250
LV,231
MY,229
CR,222
UA,220
TN,193
VE,192
KR,192
CY,161
EG,160
VN,159
AL,153
PE,150
MK,139
TT,124
ZA,119
DO,92
BB,87
MT,85
JM,84
IN,79
QA,72
JO,71
IS,68
UY,64
PA,59
GE,59
NI,58
CN,58
LU,55
MO,47
BS,46
LB,45
ME,41
IQ,41
BH,41
GT,38
TH,37
PK,36
DZ,33
BY,31
ID,28
CW,27
KZ,26
EC,26
MD,25
SV,24
HN,24
OM,20
AW,20
RE,17
PY,17
IR,16
FO,16
GU,15
JE,14
BD,14
BZ,13
MN,12
KE,12
AM,12
BO,11
PS,10
MU,10
LI,10
PF,8
NG,8
EU,8
BN,8
IM,7
GP,7
VI,6
FJ,6
LK,5
LC,5
KY,5
GF,5
BQ,5
AX,5
SD,4
LY,4
KH,4
GI,4
GG,4
DM,4
AI,4
VC,3
SR,3
KG,3
AG,3
VG,2
TC,2
MC,2
KN,2
GL,2
BM,2
SN,1
SM,1
SC,1
NC,1
MQ,1
GY,1
GA,1
AZ,1
AD,1
A1,1
